student_id,student_name,department,semester,cgpa,tenth_percentage,twelfth_percentage,backlogs,programming_languages,frameworks,verified_certifications,python_skill,java_skill,sql_skill,react_skill,aws_skill,dsa_skill,certifications_count,projects_count,project_complexity,open_source_contributions,internships_count,aptitude_score,quantitative_aptitude_score,logical_aptitude_score,coding_score,communication_score,verbal_fluency_score,interview_score,presentation_score,hackathons_participated,leadership_roles,tech_society_participation,target_role,placement_probability,placement_status,missing_skills,recommended_courses,roadmap_weeks,placement_outcome
STU0001,Vedant Kumar,AI&DS,6,7.56,72.7,72.3,1,Java,React,Python Certificate,0,1,1,1,0,0,1,1,2,4,0,54,53,53,45,79,76,66,80,0,0,0,QA Engineer,18.4,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0002,Aditi Yadav,Mechanical,7,6.87,83.9,61.8,1,Python,Git,,0,0,0,0,0,0,0,2,2,6,0,55,59,48,46,79,74,67,73,0,0,0,QA Engineer,18.8,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0003,Kavya Nair,IT,8,6.84,67.0,72.5,0,Python|Java|C++,React|Pandas,Python Certificate|SQL Certificate|Cloud Certificate|DSA Certificate,2,1,1,1,1,2,4,2,3,6,0,62,65,61,55,82,80,74,75,0,1,0,QA Engineer,60.0,Near Ready,Java|API Testing,Java for Test Automation|Postman & REST API Testing,6,Placed
STU0004,Harsh Singh,IT,7,8.13,80.8,76.5,0,Python|Java|C++,React|Spring Boot,,1,2,2,2,1,2,0,6,4,11,0,69,71,72,64,85,84,81,84,3,0,2,Full Stack Developer,68.4,Near Ready,Advanced interview practice,Advanced Placement Interview Mastery,4,Placed
STU0005,Ishaan Kumar,CSE,8,7.1,88.5,77.2,0,Python|Java|C++,React|Spring Boot|Pandas,Python Certificate|SQL Certificate|Cloud Certificate|DSA Certificate,2,2,3,1,1,2,4,5,4,11,2,76,73,76,72,88,85,87,87,2,2,1,Full Stack Developer,80.0,Ready,React,Meta Front-End Development,4,Placed
STU0006,Zoya Yadav,CSE,7,6.7,72.2,69.9,0,Python|Java,React,Python Certificate|SQL Certificate,1,1,2,1,1,1,2,4,3,8,0,55,57,53,47,79,77,67,74,0,0,0,Full Stack Developer,15.8,Needs Training,React|Java|DSA,Meta Front-End Development|Java Programming & Spring Boot|Data Structures & Algorithms,8,Not Placed
STU0007,Shreya Gupta,CSE,7,9.16,89.4,85.2,1,Python|Java|C++,React|Spring Boot|Pandas|AWS,Python Certificate|SQL Certificate|Cloud Certificate,3,3,2,2,2,3,3,4,3,12,3,83,83,82,81,91,91,94,91,2,1,1,Full Stack Developer,95.5,Ready,Advanced interview practice,Advanced Placement Interview Mastery,4,Placed
STU0008,Tanvi Das,ECE,8,7.69,69.3,76.5,0,Python|Java,React,Python Certificate,1,1,1,1,0,1,1,7,4,12,2,61,62,59,55,82,78,73,78,0,0,0,Full Stack Developer,60.0,Near Ready,React|Java|DSA|MongoDB,Meta Front-End Development|Java Programming & Spring Boot|Data Structures & Algorithms|MongoDB Developer Path,10,Placed
STU0009,Aditya Sharma,IT,6,6.97,79.0,68.4,0,Python|Java,React|Pandas,Python Certificate,2,1,1,1,1,1,1,7,4,12,0,64,66,62,58,83,78,76,81,3,0,2,Full Stack Developer,60.0,Near Ready,React|Java|DSA|MongoDB,Meta Front-End Development|Java Programming & Spring Boot|Data Structures & Algorithms|MongoDB Developer Path,10,Placed
STU0010,Anish Reddy,IT,7,6.8,68.2,78.6,1,Python,React,,0,0,1,1,1,1,0,1,2,5,0,56,59,52,47,80,78,68,74,1,0,1,Data Analyst,12.3,Needs Training,Python|SQL|Statistics|Power BI,Python for Data Analysis|SQL & Database Fundamentals|Statistics for Data Analysis|Microsoft Power BI Data Analyst,10,Not Placed
STU0011,Harsh Agarwal,CSE,6,5.0,50.0,50.0,5,Python,React,,0,0,0,1,0,1,0,2,2,4,0,40,42,43,40,71,62,48,59,0,0,0,QA Engineer,5.0,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
STU0012,Utkarsh Sharma,Mechanical,8,8.51,91.0,84.3,0,Python|Java,React|Pandas,Python Certificate,2,1,2,2,0,1,1,2,3,8,1,75,79,78,72,88,88,87,88,1,0,1,Data Analyst,80.0,Ready,Power BI,Microsoft Power BI Data Analyst,4,Placed
STU0013,Siddharth Reddy,ECE,8,7.79,88.7,86.4,0,Python|Java,React,Python Certificate|SQL Certificate|Cloud Certificate|DSA Certificate,1,1,2,1,1,1,4,2,3,7,0,74,73,73,70,87,85,85,86,1,1,2,QA Engineer,70.4,Near Ready,Java,Java for Test Automation,4,Placed
STU0014,Aiswarya Pandey,CSE,5,7.01,76.0,69.0,0,Python|Java,React,Python Certificate,1,1,1,1,1,1,1,1,2,5,0,61,63,63,54,82,79,73,76,2,2,2,QA Engineer,60.0,Near Ready,Java|API Testing|Automation Testing,Java for Test Automation|Postman & REST API Testing|Mastering Test Automation & Frameworks,8,Placed
STU0015,Abhinav Bhat,CSE,7,7.07,79.7,80.7,0,Python|Java|C++,React|Pandas,Python Certificate,2,1,2,1,1,2,1,1,2,6,1,66,67,63,60,84,84,78,81,1,0,1,DevOps Engineer,60.0,Near Ready,AWS|Docker|Kubernetes,AWS Cloud Practitioner|Docker & Kubernetes Bootcamp|Kubernetes for DevOps,8,Placed
STU0016,Pranav Nair,CSE,8,8.34,87.5,72.3,0,Python|Java|C++,React|Spring Boot|Pandas,Python Certificate,2,2,2,2,1,2,1,1,2,8,1,71,73,69,66,86,87,83,82,1,1,1,QA Engineer,81.1,Ready,API Testing|Automation Testing,Postman & REST API Testing|Mastering Test Automation & Frameworks,6,Placed
STU0017,Rahul Deshmukh,AI&DS,6,6.37,66.6,69.6,0,Python|Java,Spring Boot|Pandas,Python Certificate,2,2,1,0,0,1,1,1,2,3,0,46,51,49,40,75,68,58,68,0,0,0,QA Engineer,21.1,Needs Training,Selenium|API Testing|Automation Testing,Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,8,Not Placed
STU0018,Kavya Pillai,AI&DS,7,6.85,78.3,70.3,0,Python|Java,Pandas|AWS,,2,1,1,0,2,1,0,4,3,8,3,58,60,54,51,81,77,71,75,1,0,1,DevOps Engineer,60.0,Near Ready,Docker|Kubernetes,Docker & Kubernetes Bootcamp|Kubernetes for DevOps,6,Placed
STU0019,Aarav Jain,AI&DS,8,8.31,82.9,78.6,0,Python|Java|C++,React|Pandas,Python Certificate|SQL Certificate|Cloud Certificate,2,1,2,2,1,2,3,7,4,14,1,74,75,73,71,87,83,86,88,4,0,2,Full Stack Developer,80.0,Ready,Java,Java Programming & Spring Boot,4,Placed
STU0020,Chaitanya Thakur,CSE,5,5.52,74.5,61.9,1,Python,React,,1,0,0,1,0,1,0,1,2,3,1,50,51,49,40,77,74,62,67,0,0,0,QA Engineer,7.4,Needs Training,Java|Selenium|API Testing|Automation Testing,Java for Test Automation|Automation Testing with Selenium|Postman & REST API Testing|Mastering Test Automation & Frameworks,10,Not Placed
